"NL_NAME"	"Name"	"Seqs"
"Республика Бурятия"	"Buryat Republic"	9
"Чеченская республика"	"Chechen Republic"	2
"Челябинская область"	"Chelyabinsk Region"	1
"Республика Крым"	"Crymea"	1
"Кабардино-Балкарская Республика"	"Kabardino-Balkaria"	2
"Хабаровский край"	"Khabarovsk Region"	2
"Краснодарский край"	"Krasnodar Region"	2
"Красноярский край"	"Krasnoyarsk Region"	1
"Липецкая область"	"Lipetsk Region"	2
"г. Москва"	"Moscow"	30
"Новосибирская область"	"Novosibirsk Region"	1
"Омская область"	"Omsk Region"	1
"Оренбургская область"	"Orenburg Region"	1
"Пермский край"	"Perm Region"	1
"Приморский край"	"Primorskiy Region"	1
"Псковская область"	"Pskov Region"	1
"Сахалинская область"	"Sakhalin Region"	1
"Самарская область"	"Samara Region"	2
"г. Санкт-Петербург"	"StPetersburg"	137
"Свердловская область"	"Sverdlovsk Region"	6
"Республика Татарстан"	"Tatarstan"	1
"Тверская область"	"Tver Region"	1
"Республика Саха"	"Yakutia"	5
