Date	New_cases
3/1/2020	0
3/2/2020	0
3/3/2020	1
3/4/2020	1
3/5/2020	0
3/6/2020	0
3/7/2020	6
3/8/2020	0
3/9/2020	0
3/10/2020	0
3/11/2020	0
3/12/2020	15
3/13/2020	5
3/14/2020	15
3/15/2020	14
3/16/2020	4
3/17/2020	30
3/18/2020	21
3/19/2020	33
3/20/2020	52
3/21/2020	54
3/22/2020	53
3/23/2020	61
3/24/2020	71
3/25/2020	57
3/26/2020	163
3/27/2020	179
3/28/2020	196
3/29/2020	228
3/30/2020	270
3/31/2020	302
4/1/2020	501
4/2/2020	440
4/3/2020	771
4/4/2020	601
4/5/2020	582
4/6/2020	658
4/7/2020	954
4/8/2020	1154
4/9/2020	1175
4/10/2020	1459
4/11/2020	1786
4/12/2020	1667
4/13/2020	2186
4/14/2020	2556
4/15/2020	2776
4/16/2020	3388
4/17/2020	3448
4/18/2020	4070
4/19/2020	4785
4/20/2020	6060
4/21/2020	4268
4/22/2020	5642
4/23/2020	5236
4/24/2020	5966
4/25/2020	5849
4/26/2020	5966
4/27/2020	6361
4/28/2020	6198
4/29/2020	6411
4/30/2020	5841
